City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,fortuna,40.5982,-124.1573,16.19,77,75,8.23,US,1675557878
232,brus,43.3836,21.0336,-4.62,79,91,6.94,RS,1675558303
233,saint-michel-des-saints,46.6834,-73.9159,-19.77,93,100,3.35,CA,1675558304
234,azad shahr,34.7909,48.5707,-8.73,86,0,1.03,IR,1675558304
235,honiara,-9.4333,159.95,28.57,81,99,1.65,SB,1675558113
236,plettenberg bay,-34.0527,23.3716,21.56,77,0,3.66,ZA,1675558305
237,tecoanapa,16.5167,-98.75,26.06,68,4,1.75,MX,1675558306
238,rocha,-34.4833,-54.3333,19.27,90,100,7.75,UY,1675557908
239,cayenne,4.9333,-52.3333,25.02,94,100,1.03,GF,1675558296
240,bereda,43.2686,-7.5406,5.64,100,82,3.0,ES,1675558307
241,sorland,67.667,12.6934,3.92,97,100,18.9,NO,1675558307
242,hemsedal,60.8629,8.5534,-6.45,96,100,1.64,NO,1675558308
243,okhtyrka,50.3104,34.8988,-4.56,96,100,2.6,UA,1675558308
